"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"129",543037,"Cole, Gerrit","2021-07-10","129","100.0","0.103","0.000","0.176","0.103","0.130","0.175","0.141","3","29","87.2","25.7","2301","92.7","92.47","13","54","75","-0.2","6.44","108","149","117","148","292","327","287"
"116",543037,"Cole, Gerrit","2021-09-01","116","100.0","0.160","0.080","0.400","0.240","0.170","0.127","0.130","4","25","81.3","3.5","2400","93.6","93.91","32","60","56","0.3","6.52","115","152","119","148","299","316","289"
"111",543037,"Cole, Gerrit","2021-04-24","111","100.0","0.125","0.125","0.231","0.250","0.154","0.244","0.198","3","24","90.1","18.5","2525","92.5","92.84","15","55","56","0.3","6.56","114","161","119","149","286","323","292"
"109",543037,"Cole, Gerrit","2021-04-18","109","100.0","0.217","0.043","0.357","0.261","0.219","0.204","0.184","5","23","92.4","17.6","2487","92.4","92.56","18","55","54","0.2","6.56","112","157","116","150","307","333","285"
"108",543037,"Cole, Gerrit","2021-09-14","108","100.0","0.211","0.105","0.333","0.316","0.287","0.235","0.167","4","19","80.3","17.6","2517","93.1","93.31","14","42","66","0.2","6.58","113","151","128","143","290","328","291"
"108",543037,"Cole, Gerrit","2021-06-22","108","100.0","0.125","0.125","0.118","0.250","0.216","0.262","0.175","3","24","83.0","5.5","2342","91.3","91.65","14","56","52","0.3","6.50","112","153","119","148","303","330","284"
"106",543037,"Cole, Gerrit","2021-05-12","106","100.0","0.148","0.074","0.267","0.222","0.157","0.079","0.077","4","27","80.4","6.9","2475","91.5","89.38","24","51","55","-2.1","6.84","111","155","112","153","300","328","293"
"105",543037,"Cole, Gerrit","2021-07-29","105","100.0","0.273","0.182","0.417","0.455","0.326","0.283","0.192","6","22","90.1","5.7","2302","93.9","94.20","23","55","50","0.3","6.74","112","162","112","150","293","332","294"
"104",543037,"Cole, Gerrit","2021-07-23","104","100.0","0.300","0.250","0.417","0.550","0.370","0.385","0.281","6","20","91.1","17.7","2413","92.5","92.69","16","47","57","0.2","6.37","112","157","118","147","276","320","303"
"104",543037,"Cole, Gerrit","2021-09-19","104","100.0","0.400","0.240","0.500","0.640","0.461","0.368","0.273","10","25","84.1","8.0","2512","91.4","91.51","16","59","45","0.1","6.45","108","149","116","146","294","328","286"
"104",543037,"Cole, Gerrit","2021-08-27","104","100.0","0.250","0.042","0.400","0.292","0.270","0.280","0.228","6","24","85.2","17.3","2419","93.1","93.66","17","56","48","0.6","6.61","112","150","115","146","297","330","294"
"104",543037,"Cole, Gerrit","2021-06-16","104","100.0","0.143","0.214","0.091","0.357","0.223","0.331","0.228","4","28","86.4","1.0","2303","92.5","92.65","15","55","49","0.1","6.30","111","162","119","149","295","322","293"
"103",543037,"Cole, Gerrit","2021-05-28","103","100.0","0.261","0.043","0.333","0.304","0.264","0.287","0.259","6","23","90.8","8.1","2511","91.3","91.55","14","56","47","0.3","6.57","111","160","117","149","295","324","284"
"98",543037,"Cole, Gerrit","2021-04-12","98","100.0","0.143","0.000","0.231","0.143","0.151","0.168","0.142","3","21","94.3","13.9","2539","91.4","91.55","13","43","55","0.2","6.45","113","158","123","150","303","327","284"
"97",543037,"Cole, Gerrit","2021-04-01","97","100.0","0.238","0.143","0.333","0.381","0.300","0.318","0.233","5","21","98.5","24.2","2491","91.3","91.67","13","47","50","0.4","6.61","110","152","123","150","310","326","282"
"97",543037,"Cole, Gerrit","2021-04-06","97","100.0","0.160","0.040","0.333","0.200","0.155","0.097","0.102","4","25","85.1","29.7","2573","90.5","90.30","26","53","44","-0.2","6.42","105","147","119","151","292","320","286"
